"","Season","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","NAME"
"481","2011-12",21,"BOS","NBA","PG","64","28","21.4","3.1","6.3",".498","0.3","0.8",".407","2.8","5.4",".511",".525","1.0","1.2",".795","0.5","1.3","1.8","1.4","0.7","0.2","1.2","1.7","7.6","Bradley,A"
"482","2012-13",22,"BOS","NBA","PG","50","50","28.7","3.8","9.6",".402","0.8","2.5",".317","3.0","7.0",".432",".444","0.7","1.0",".755","0.6","1.6","2.2","2.1","1.3","0.4","1.4","2.6","9.2","Bradley,A"
"483","2013-14",23,"BOS","NBA","SG","60","58","30.9","6.0","13.8",".438","1.3","3.3",".395","4.7","10.4",".451",".485","1.5","1.9",".804","0.8","3.0","3.8","1.4","1.1","0.2","1.6","2.4","14.9","Bradley,A"
"484","2014-15",24,"BOS","NBA","SG","77","77","31.5","5.6","13.1",".429","1.6","4.6",".352","4.0","8.6",".470",".490","1.0","1.3",".790","0.6","2.5","3.1","1.8","1.1","0.2","1.4","2.3","13.9","Bradley,A"
"485","2015-16",25,"BOS","NBA","SG","76","72","33.4","6.0","13.4",".447","1.9","5.4",".361","4.1","8.1",".505",".520","1.3","1.6",".780","0.6","2.3","2.9","2.1","1.5","0.3","1.4","2.2","15.2","Bradley,A"
"486","2016-17",26,"BOS","NBA","SG","55","55","33.4","6.5","14.1",".463","2.0","5.0",".390","4.6","9.1",".504",".533","1.2","1.7",".731","1.2","4.9","6.1","2.2","1.2","0.2","1.6","2.6","16.3","Bradley,A"
"487","2017-18",27,"TOT","NBA","SG","46","46","31.2","5.6","13.6",".414","1.6","4.4",".369","4.0","9.2",".436",".474","1.4","1.8",".768","0.5","2.0","2.5","2.0","1.1","0.2","2.2","2.0","14.3","Bradley,A"
"488","2017-18",27,"DET","NBA","SG","40","40","31.7","5.8","14.3",".409","1.9","4.9",".381","4.0","9.4",".423",".474","1.5","2.0",".763","0.5","1.9","2.4","2.1","1.2","0.2","2.3","2.0","15.0","Bradley,A"
"489","2017-18",27,"LAC","NBA","SG","6","6","27.5","4.3","9.2",".473","0.2","1.5",".111","4.2","7.7",".543",".482","0.3","0.3","1.000","0.5","3.2","3.7","1.8","0.8","0.2","1.3","2.0","9.2","Bradley,A"
"490","2018-19",28,"TOT","NBA","SG","63","63","30.2","3.9","9.7",".408","1.4","3.9",".351","2.6","5.8",".446",".479","0.7","0.8",".860","0.7","2.1","2.8","2.4","0.7","0.3","1.4","2.7","9.9","Bradley,A"
"491","2018-19",28,"LAC","NBA","SG","49","49","29.9","3.3","8.6",".383","1.2","3.5",".337","2.1","5.1",".415",".452","0.4","0.5",".800","0.7","2.0","2.7","2.0","0.6","0.3","1.2","2.7","8.2","Bradley,A"
"492","2018-19",28,"MEM","NBA","SG","14","14","31.6","6.2","13.4",".463","2.0","5.2",".384","4.2","8.2",".513",".537","1.6","1.8",".920","0.6","2.6","3.1","4.0","1.0","0.0","2.0","2.4","16.1","Bradley,A"
"493","2019-20",29,"LAL","NBA","SG","49","44","24.2","3.5","7.8",".444","1.3","3.5",".364","2.2","4.3",".510",".526","0.4","0.5",".833","0.4","2.0","2.3","1.3","0.9","0.1","1.0","2.2","8.6","Bradley,A"
"494","2020-21",30,"TOT","NBA","SG","27","6","22.3","2.4","6.3",".374","1.2","3.7",".327","1.1","2.6",".443",".471","0.4","0.6",".800","0.3","1.8","2.1","1.7","0.8","0.1","1.0","2.0","6.4","Bradley,A"
"495","2020-21",30,"MIA","NBA","SG","10","1","21.1","3.1","6.6",".470","1.6","3.8",".421","1.5","2.8",".536",".591","0.7","0.9",".778","0.2","1.6","1.8","1.4","0.7","0.1","0.9","2.6","8.5","Bradley,A"
"496","2020-21",30,"HOU","NBA","SG","17","5","23.0","1.9","6.2",".314","1.0","3.7",".270","0.9","2.5",".381",".395","0.3","0.4",".833","0.4","1.9","2.3","1.9","0.8","0.1","1.1","1.7","5.2","Bradley,A"
"497","2021-22",31,"LAL","NBA","SG","49","42","23.8","2.5","6.1",".411","1.4","3.6",".381","1.1","2.5",".455",".523","0.2","0.3",".857","0.6","1.8","2.3","0.8","0.9","0.2","0.7","1.9","6.6","Bradley,A"
"498","2019-20",19,"LAL","NBA","SG","6","1","13.5","2.3","5.0",".467","0.7","2.2",".308","1.7","2.8",".588",".533","0.3","0.7",".500","0.3","0.8","1.2","1.0","1.3","0.2","1.0","1.7","5.7","Horton-Tucker,T"
"499","2020-21",20,"LAL","NBA","SG","65","4","20.1","3.4","7.5",".458","0.6","2.0",".282","2.9","5.5",".522",".496","1.5","2.0",".775","0.4","2.2","2.6","2.8","1.0","0.3","1.6","2.0","9.0","Horton-Tucker,T"
"500","2021-22",21,"LAL","NBA","SG","42","15","25.9","3.6","8.7",".410","0.8","3.0",".273","2.7","5.7",".483",".458","1.5","1.9",".800","0.6","2.7","3.4","2.7","0.9","0.6","1.5","2.5","9.5","Horton-Tucker,T"
"501","2003-04",19,"CLE","NBA","SG","79","79","39.5","7.9","18.9",".417","0.8","2.7",".290","7.1","16.1",".438",".438","4.4","5.8",".754","1.3","4.2","5.5","5.9","1.6","0.7","3.5","1.9","20.9","James,L"
"502","2004-05",20,"CLE","NBA","SF","80","80","42.4","9.9","21.1",".472","1.4","3.9",".351","8.6","17.2",".499",".504","6.0","8.0",".750","1.4","6.0","7.4","7.2","2.2","0.7","3.3","1.8","27.2","James,L"
"503","2005-06",21,"CLE","NBA","SF","79","79","42.5","11.1","23.1",".480","1.6","4.8",".335","9.5","18.3",".518",".515","7.6","10.3",".738","0.9","6.1","7.0","6.6","1.6","0.8","3.3","2.3","31.4","James,L"
